displacement,cylinders,horsepower,weight,acceleration,model_year,mpg,origin_2,origin_3
307.0,8,130.0,3504,12.0,70,18.0,0,0
350.0,8,165.0,3693,11.5,70,15.0,0,0
318.0,8,150.0,3436,11.0,70,18.0,0,0
304.0,8,150.0,3433,12.0,70,16.0,0,0
302.0,8,140.0,3449,10.5,70,17.0,0,0
429.0,8,198.0,4341,10.0,70,15.0,0,0
454.0,8,220.0,4354,9.0,70,14.0,0,0
440.0,8,215.0,4312,8.5,70,14.0,0,0
455.0,8,225.0,4425,10.0,70,14.0,0,0
390.0,8,190.0,3850,8.5,70,15.0,0,0
383.0,8,170.0,3563,10.0,70,15.0,0,0
340.0,8,160.0,3609,8.0,70,14.0,0,0
400.0,8,150.0,3761,9.5,70,15.0,0,0
455.0,8,225.0,3086,10.0,70,14.0,0,0
113.0,4,95.0,2372,15.0,70,24.0,0,1
198.0,6,95.0,2833,15.5,70,22.0,0,0
199.0,6,97.0,2774,15.5,70,18.0,0,0
200.0,6,85.0,2587,16.0,70,21.0,0,0
97.0,4,88.0,2130,14.5,70,27.0,0,1
97.0,4,46.0,1835,20.5,70,26.0,1,0
110.0,4,87.0,2672,17.5,70,25.0,1,0
107.0,4,90.0,2430,14.5,70,24.0,1,0
104.0,4,95.0,2375,17.5,70,25.0,1,0
121.0,4,113.0,2234,12.5,70,26.0,1,0
199.0,6,90.0,2648,15.0,70,21.0,0,0
360.0,8,215.0,4615,14.0,70,10.0,0,0
307.0,8,200.0,4376,15.0,70,10.0,0,0
318.0,8,210.0,4382,13.5,70,11.0,0,0
304.0,8,193.0,4732,18.5,70,9.0,0,0
97.0,4,88.0,2130,14.5,71,27.0,0,1
140.0,4,90.0,2264,15.5,71,28.0,0,0
113.0,4,95.0,2228,14.0,71,25.0,0,1
98.0,4,93.5,2046,19.0,71,25.0,0,0
232.0,6,100.0,2634,13.0,71,19.0,0,0
225.0,6,105.0,3439,15.5,71,16.0,0,0
250.0,6,100.0,3329,15.5,71,17.0,0,0
250.0,6,88.0,3302,15.5,71,19.0,0,0
232.0,6,100.0,3288,15.5,71,18.0,0,0
350.0,8,165.0,4209,12.0,71,14.0,0,0
400.0,8,175.0,4464,11.5,71,14.0,0,0
351.0,8,153.0,4154,13.5,71,14.0,0,0
318.0,8,150.0,4096,13.0,71,14.0,0,0
383.0,8,180.0,4955,11.5,71,12.0,0,0
400.0,8,170.0,4746,12.0,71,13.0,0,0
400.0,8,175.0,5140,12.0,71,13.0,0,0
258.0,6,110.0,2962,13.5,71,18.0,0,0
140.0,4,72.0,2408,19.0,71,22.0,0,0
