displacement,cylinders,horsepower,weight,acceleration,model_year,origin_2,origin_3,mpg
304.0,8,150.0,3433,12.0,70,0,0,16.0
97.0,4,88.0,2130,14.5,70,0,1,27.0
91.0,4,68.0,2025,18.2,82,0,1,37.0
91.0,4,60.0,1800,16.4,78,0,1,36.1
115.0,4,95.0,2694,15.0,75,1,0,23.0
400.0,8,175.0,4385,12.0,72,0,0,14.0
78.0,4,52.0,1985,19.4,78,0,1,32.8
98.0,4,65.0,2380,20.7,81,0,0,29.9
97.0,4,88.0,2279,19.0,73,0,1,20.0
429.0,8,198.0,4952,11.5,73,0,0,12.0
400.0,8,190.0,4325,12.2,77,0,0,15.5
70.0,3,100.0,2420,12.5,80,0,1,23.7
116.0,4,75.0,2158,15.5,73,1,0,24.0
79.0,4,58.0,1825,18.6,77,1,0,36.0
156.0,6,108.0,2930,15.5,76,0,1,19.0
105.0,4,63.0,2125,14.7,82,0,0,38.0
135.0,4,84.0,2525,16.0,82,0,0,29.0
231.0,6,115.0,3245,15.4,79,0,0,21.5
156.0,4,105.0,2800,14.4,80,0,0,27.9
318.0,8,150.0,4077,14.0,72,0,0,14.0
98.0,4,66.0,1800,14.4,78,0,0,36.1
108.0,4,94.0,2379,16.5,73,0,1,22.0
199.0,6,97.0,2774,15.5,70,0,0,18.0
304.0,8,150.0,3672,11.5,72,0,0,17.0
250.0,6,105.0,3459,16.0,75,0,0,18.0
440.0,8,215.0,4312,8.5,70,0,0,14.0
97.0,4,46.0,1835,20.5,70,1,0,26.0
350.0,8,150.0,4699,14.5,74,0,0,13.0
105.0,4,74.0,2190,14.2,81,1,0,33.0
85.0,4,65.0,1975,19.4,81,0,1,37.0
71.0,4,65.0,1836,21.0,74,0,1,32.0
107.0,4,86.0,2464,15.5,76,1,0,28.0
267.0,8,125.0,3605,15.0,79,0,0,19.2
91.0,4,67.0,1965,15.7,82,0,1,32.0
121.0,4,80.0,2670,15.0,79,0,0,27.4
140.0,4,90.0,2408,19.5,72,0,0,20.0
96.0,4,69.0,2189,18.0,72,1,0,26.0
225.0,6,110.0,3360,16.6,79,0,0,20.6
91.0,4,69.0,2130,14.7,79,1,0,37.3
163.0,6,133.0,3410,15.8,78,1,0,16.2
350.0,8,145.0,4440,14.0,75,0,0,15.0
140.0,4,72.0,2401,19.5,73,0,0,21.0
200.0,6,85.0,2587,16.0,70,0,0,21.0
200.0,6,95.0,3155,18.2,78,0,0,20.5
199.0,6,90.0,2648,15.0,70,0,0,21.0
168.0,6,116.0,2900,12.6,81,0,1,25.4
91.0,4,68.0,1985,16.0,81,0,1,34.1
151.0,4,90.0,2950,17.3,82,0,0,27.0
98.0,4,70.0,2125,17.3,82,0,0,36.0
120.0,4,74.0,2635,18.3,81,0,1,31.6
89.0,4,60.0,1968,18.8,80,0,1,38.1
83.0,4,61.0,2003,19.0,74,0,1,32.0
85.0,4,65.0,2110,19.2,80,0,1,40.8
232.0,6,90.0,3211,17.0,75,0,0,19.0
114.0,4,91.0,2582,14.0,73,1,0,20.0
250.0,6,105.0,3353,14.5,76,0,0,22.0
258.0,6,95.0,3193,17.8,76,0,0,17.5
81.0,4,60.0,1760,16.1,81,0,1,35.1
98.0,4,63.0,2051,17.0,77,0,0,30.5
107.0,4,75.0,2210,14.4,81,0,1,33.7
250.0,6,88.0,3302,15.5,71,0,0,19.0
302.0,8,140.0,4638,16.0,74,0,0,14.0
351.0,8,142.0,4054,14.3,79,0,0,15.5
250.0,6,72.0,3158,19.5,75,0,0,15.0
232.0,6,90.0,3085,17.6,76,0,0,22.5
85.0,4,52.0,2035,22.2,76,0,0,29.0
97.0,4,54.0,2254,23.5,72,1,0,23.0
70.0,3,90.0,2124,13.5,73,0,1,18.0
122.0,4,96.0,2300,15.5,77,0,0,25.5
119.0,4,97.0,2545,17.0,75,0,1,24.0
454.0,8,220.0,4354,9.0,70,0,0,14.0
351.0,8,138.0,3955,13.2,79,0,0,16.5
131.0,5,103.0,2830,15.9,78,1,0,20.3
108.0,4,93.0,2391,15.5,74,0,1,26.0
383.0,8,170.0,3563,10.0,70,0,0,15.0
97.0,4,67.0,2145,18.0,80,0,1,33.8
400.0,8,150.0,4997,14.0,73,0,0,11.0
97.0,4,92.0,2288,17.0,72,0,1,28.0
225.0,6,100.0,3630,17.7,77,0,0,19.0
97.0,4,67.0,1985,16.4,77,0,1,30.0
141.0,4,71.0,3190,24.8,79,1,0,27.2
168.0,6,120.0,3820,16.7,76,1,0,16.5
97.0,4,75.0,2171,16.0,75,0,1,29.0
262.0,8,110.0,3221,13.5,75,0,0,20.0
318.0,8,150.0,3777,12.5,73,0,0,15.0
318.0,8,140.0,4080,13.7,78,0,0,17.5
225.0,6,95.0,3785,19.0,75,0,0,18.0
90.0,4,75.0,2108,15.5,74,1,0,24.0
232.0,6,90.0,3265,18.2,79,0,0,20.2
351.0,8,158.0,4363,13.0,73,0,0,13.0
350.0,8,160.0,4456,13.5,72,0,0,12.0
156.0,6,122.0,2807,13.5,73,0,1,20.0
360.0,8,175.0,3821,11.0,73,0,0,13.0
